AIC,Params,Seasonal_Params,Model
1245.5099020628268,"(4, 2, 0)","(0, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90971df730>
1246.6675490264158,"(4, 2, 0)","(1, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9006f105b0>
1250.6015675671435,"(4, 2, 0)","(4, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ef71afd90>
1251.3479695082058,"(2, 2, 0)","(0, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90971dff40>
1252.2356311528122,"(2, 2, 0)","(1, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ff2430640>
1252.600781384122,"(4, 2, 0)","(4, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e6b51c700>
1253.797248505299,"(2, 2, 0)","(2, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fb4da6220>
1254.6007621883277,"(4, 2, 0)","(4, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ec7433cd0>
1254.942568160738,"(2, 2, 0)","(0, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9020158ca0>
1254.9473974389894,"(2, 2, 0)","(3, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f453b5370>
1255.1675680555536,"(2, 2, 0)","(2, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8fb72e6a60>
1256.601388383461,"(4, 2, 0)","(4, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e3994a9a0>
1256.7199016638465,"(2, 2, 0)","(4, 1, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e8080e760>
1256.7795516646868,"(2, 2, 0)","(3, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f453baa90>
1256.795737433685,"(2, 2, 0)","(0, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90838e5370>
1256.848331047802,"(2, 2, 0)","(1, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90078cca90>
1256.9388538592268,"(2, 2, 0)","(2, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f88df7970>
1258.6007642752995,"(4, 2, 0)","(4, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e32206eb0>
1258.7181973204465,"(2, 2, 0)","(4, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ea3fdb8b0>
