AIC,Params,Seasonal_Params,Model,Ljung-Box p-value,Jarque-Bera p-value
1349.1773807762042,"(1, 2, 3)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf973667c0>,0.9395326331837918,0.12181269551001693
1349.8777807746983,"(3, 2, 3)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf31f085e0>,0.9637690956397311,0.00779163938826522
1350.3600313846,"(5, 2, 1)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf4692f790>,0.44480937253910524,0.006193326179078183
1351.1430111691334,"(3, 2, 3)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf315c4040>,0.9077552127676015,0.009668013713206776
1351.3253831613679,"(0, 2, 1)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf825e5850>,0.312368693720564,0.020758734567348266
1351.3285294036696,"(1, 2, 3)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf74e655e0>,0.9024044720132384,0.10101868534891709
1351.9564851848193,"(5, 2, 2)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf46ed83d0>,0.6154068009360298,0.0004987054526426027
1352.1947483521499,"(0, 2, 3)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf729e3a00>,0.5598753737202491,0.0006097667016027293
1352.3599407692732,"(5, 2, 1)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf351d15e0>,0.4463230190544146,0.006138020326976515
1352.5712041797624,"(0, 2, 2)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf526ba580>,0.3908729140915861,0.004948397028396183
1353.0826775693604,"(7, 2, 1)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf126f3a30>,0.9266127781240387,0.00013775718909751398
1353.1185874082155,"(5, 2, 3)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf00d48d00>,0.5889409242890229,0.013469983401037243
1353.4208043803696,"(7, 2, 0)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf232a2eb0>,0.9498363814627465,0.017031092581972367
1353.4521666602072,"(3, 2, 3)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf868bcaf0>,0.9068493664521406,0.011620352479646925
1353.4541054960728,"(5, 2, 2)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf117f09d0>,0.5844762661656734,0.00019057385251800758
1353.4638513558361,"(5, 2, 3)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf19ba5d30>,0.8940031811015433,0.00632492092491609
1353.8837968563191,"(3, 2, 1)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf3148dfa0>,0.7184278320712696,0.00174843804678549
1354.0389895306275,"(3, 2, 2)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf863f6be0>,0.13160538979027456,0.004342767923171119
1354.1849509611113,"(1, 2, 2)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf96e107f0>,0.348552381722242,0.01580899814399316
1354.2075848375284,"(7, 2, 1)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf2335fac0>,0.9184595345256471,0.0004930741770421193
1354.470845675904,"(0, 2, 1)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf7230faf0>,0.2726533558778206,0.009697392904278611
1354.4792414737235,"(1, 2, 1)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf749129a0>,0.8809167856763267,0.010001812231329506
1354.80141833875,"(7, 2, 3)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf36c62070>,0.8484136219931139,0.07861896004659043
1354.9774135137602,"(0, 2, 3)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf82f13a00>,0.6523477150851194,0.0003518393229731023
1355.0028802073166,"(0, 2, 2)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf41eec6a0>,0.29643034741353247,0.002486999788774308
1355.2506124207916,"(5, 2, 1)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf19923040>,0.45930511091218307,5.571717754570129e-05
1355.465111011361,"(1, 2, 1)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf436bec40>,0.8988083976373811,0.0046917700835988905
1355.69334304342,"(3, 2, 3)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf315b8ee0>,0.96985823826089,0.04399227995016051
1355.7324871712476,"(3, 2, 1)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf56e3a4c0>,0.6165389381778082,0.0023491940508614914
1355.91204963267,"(1, 2, 3)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf74e4a250>,0.9031643056741429,0.4703843045310159
1356.1155091858411,"(0, 2, 3)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf82ef3490>,0.7537206777671742,0.00017916036703154902
1356.239767745044,"(3, 2, 2)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf57474670>,0.7653220707268619,0.0006557082271595162
1356.2551601438774,"(7, 2, 2)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf12870910>,0.7300737026369982,0.00027892404698224947
1356.4101877813123,"(0, 2, 1)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf7230fcd0>,0.17881822349597132,0.00931569302598751
1356.5143573145967,"(5, 2, 2)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf21e88370>,0.7634029992786353,0.00012204595301092724
1356.5717672512865,"(3, 2, 1)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf56e15ee0>,0.7887466380217485,0.0014418926702818196
1356.6832391492235,"(7, 2, 2)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf12ab7eb0>,0.953288306250214,0.003867432553381558
1356.7124112217034,"(1, 2, 1)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf43beda60>,0.8386568464387533,0.003968028666530728
1357.414904862768,"(0, 2, 2)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf526a03a0>,0.3792893514564425,0.00043054250790542617
1357.4346398053153,"(5, 2, 2)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf21c9e280>,0.6028208240379717,0.0002737581701569575
1357.5562103832337,"(1, 2, 2)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf8486e8e0>,0.1757786733917544,0.010361952804516362
1357.9864354236788,"(7, 2, 3)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf36c62160>,0.8065704410684602,0.0054704541478944576
1357.999796446004,"(1, 2, 2)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf84889af0>,0.32512117290791664,0.02613873757455073
1358.2108210691279,"(5, 2, 0)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf19741520>,0.8346020914233301,0.12329760327413966
1358.2951059668435,"(3, 2, 2)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf57448fd0>,0.8473974565630807,0.0009559119744286899
1358.4246184253645,"(5, 2, 0)","(0, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf1949c310>,0.5803947862421359,0.21379516763260595
1358.4525372513453,"(0, 2, 1)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf825c6430>,0.09852846398935768,0.004945214952185585
1358.5736206083254,"(5, 2, 3)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf00d2e460>,0.9275056122056295,0.07809476545187513
1359.0756917493468,"(0, 2, 3)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf729e3160>,0.6305750150197551,6.536978260486193e-05
1359.4717415473465,"(1, 2, 1)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf43b1f040>,0.886896504903484,0.0008254732528408089
1359.5603374260977,"(3, 2, 2)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf863d5850>,0.469210430399602,0.0007303563947898942
1359.6123870745118,"(0, 2, 2)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf41f0ac40>,0.39647903062968226,0.0006516859448527947
1359.621725691833,"(1, 2, 3)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf97341d90>,0.3618666615351235,0.0004860775297452765
1359.6437380126918,"(3, 2, 1)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf56c76130>,0.5446946244902704,0.0007141568126285862
1360.024632375762,"(5, 2, 3)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf11918760>,0.698724485272686,0.08120921448083203
1362.15144856796,"(1, 2, 2)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf74df9e50>,0.191333932935132,0.003490996206214987
1362.2595348888203,"(5, 2, 1)","(0, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf116f3e80>,0.1377740871314524,6.799320951688877e-05
1363.084584363663,"(5, 2, 0)","(1, 1, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf19722580>,0.9700134505057062,0.2045676200192497
1364.2524821294767,"(0, 1, 1)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf81885a00>,0.6144594386066697,1.3267892574187383e-10
1364.5228981687862,"(0, 1, 0)","(1, 1, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf9341a160>,0.2290027798721797,4.854887410998232e-08
